ip;int;mac;exp;vrf;tag_inner;tag_outer;tag_vlanid
10.1.24.236;ae31.708;e4:27:71:46:2a:c8;110;IPTV;;;
10.1.24.238;ae31.708;e4:27:71:4e:e3:33;213;IPTV;;;
10.1.24.241;ae31.708;e4:27:71:26:c4:2e;333;IPTV;;;
10.1.24.242;ae31.708;e4:27:71:6b:ab:14;600;IPTV;;;
10.1.24.243;ae31.708;1c:bb:a8:28:0e:e3;90;IPTV;;;
10.1.24.247;ae31.708;e4:27:71:03:5f:d3;579;IPTV;;;
10.1.24.248;ae31.708;e4:27:71:5f:3a:2c;955;IPTV;;;
10.1.24.251;ae31.708;00:1a:79:13:ab:c1;535;IPTV;;;
10.1.24.252;ae31.708;e4:27:71:51:50:94;926;IPTV;;;
10.1.24.254;ae31.708;ec:4c:4d:f5:08:00;193;IPTV;;;
10.1.24.255;ae31.708;e4:27:71:18:c2:23;1;IPTV;;;
10.1.25.4;ae31.708;e4:27:71:51:50:e8;857;IPTV;;;
10.1.25.6;ae31.708;e4:27:71:29:85:fd;1072;IPTV;;;
10.1.25.8;ae31.708;e4:27:71:03:73:a5;758;IPTV;;;
10.1.25.9;ae31.708;e4:27:71:5f:60:32;793;IPTV;;;
10.1.25.10;ae31.708;d8:af:81:03:46:49;1020;IPTV;;;
10.1.25.11;ae31.708;e4:27:71:18:9d:4e;195;IPTV;;;
10.1.25.12;ae31.708;e4:27:71:02:4c:e1;773;IPTV;;;
10.1.25.13;ae31.708;ec:4c:4d:73:f4:20;326;IPTV;;;
10.1.25.15;ae31.708;00:02:9b:a2:5e:bb;917;IPTV;;;
10.1.25.16;ae31.708;e4:27:71:09:37:62;854;IPTV;;;
10.1.25.17;ae31.708;e4:27:71:62:73:03;657;IPTV;;;
10.1.25.19;ae31.708;00:1a:79:0d:6d:4e;1261;IPTV;;;
10.1.25.20;ae31.708;e4:27:71:18:5d:6e;879;IPTV;;;
10.1.25.23;ae31.708;e4:27:71:00:5e:44;362;IPTV;;;
10.1.25.24;ae31.708;e4:27:71:29:68:3f;307;IPTV;;;
10.1.25.26;ae31.708;00:1a:79:0f:7f:88;1105;IPTV;;;
10.1.25.27;ae31.708;00:07:67:b2:37:f7;462;IPTV;;;
10.1.25.29;ae31.708;e4:27:71:27:a2:0e;519;IPTV;;;
10.1.25.30;ae31.708;1c:bb:a8:13:80:bd;759;IPTV;;;
10.1.25.32;ae31.708;e4:27:71:65:48:f5;777;IPTV;;;
10.1.25.33;ae31.708;00:1a:79:0f:85:ad;500;IPTV;;;
10.1.25.38;ae31.708;e0:d9:e3:89:1f:60;383;IPTV;;;
10.1.25.39;ae31.708;e4:27:71:4c:82:8a;1460;IPTV;;;
10.1.25.41;ae31.708;e4:27:71:67:cc:e1;259;IPTV;;;
10.1.25.42;ae31.708;1c:bb:a8:05:9f:25;806;IPTV;;;
10.1.25.46;ae31.708;e4:27:71:60:e4:58;114;IPTV;;;
10.1.25.47;ae31.708;e4:27:71:40:b0:24;639;IPTV;;;
10.1.25.50;ae31.708;e4:27:71:26:ee:a9;82;IPTV;;;
10.1.25.51;ae31.708;00:1a:79:0f:86:1b;653;IPTV;;;
10.1.25.53;ae31.708;e4:27:71:4c:83:8c;528;IPTV;;;
10.1.25.54;ae31.708;e4:27:71:45:e7:72;741;IPTV;;;
10.1.25.57;ae31.708;e4:27:71:13:b9:65;96;IPTV;;;
10.1.25.58;ae31.708;e4:27:71:1f:32:51;890;IPTV;;;
10.1.25.59;ae31.708;ec:4c:4d:f5:07:60;305;IPTV;;;
10.1.25.60;ae31.708;e4:27:71:62:6f:ac;25;IPTV;;;
10.1.25.61;ae31.708;e4:27:71:46:1e:10;1245;IPTV;;;
10.1.25.62;ae31.708;e4:27:71:55:f5:35;288;IPTV;;;
10.1.25.65;ae31.708;e4:27:71:02:2a:ad;441;IPTV;;;
10.1.25.66;ae31.708;00:1a:79:0d:6d:35;679;IPTV;;;
10.1.25.68;ae31.708;e4:27:71:40:af:38;751;IPTV;;;
10.1.25.69;ae31.708;1c:bb:a8:17:ab:c2;873;IPTV;;;
10.1.25.70;ae31.708;e4:27:71:4d:28:37;473;IPTV;;;
10.1.25.72;ae31.708;e4:27:71:1f:41:04;338;IPTV;;;
10.1.25.73;ae31.708;00:1a:79:13:b0:75;266;IPTV;;;
