ip;int;mac;exp;vrf
11.90.91.24;lag-3:40*;ac:cb:51:00:5a:ee;03h11m13s;USI_ROS_UIK
11.90.91.25;lag-3:40*;ac:cb:51:00:5b:cd;00h01m54s;USI_ROS_UIK
11.90.91.26;lag-3:40*;ac:cb:51:00:5c:83;00h37m29s;USI_ROS_UIK
11.90.91.27;lag-3:40*;ac:cb:51:00:59:a7;02h40m39s;USI_ROS_UIK
11.90.91.28;lag-3:40*;ac:cb:51:00:5b:e7;01h04m20s;USI_ROS_UIK
11.90.91.29;lag-3:40*;ac:cb:51:00:55:92;02h24m40s;USI_ROS_UIK
11.90.91.30;lag-3:40*;ac:cb:51:00:59:f5;02h19m24s;USI_ROS_UIK
11.90.91.31;lag-3:40*;ac:cb:51:00:5b:c7;03h39m11s;USI_ROS_UIK
11.90.91.32;lag-3:40*;ac:cb:51:00:5b:c9;01h18m57s;USI_ROS_UIK
11.90.91.33;lag-3:40*;ac:cb:51:00:59:07;00h46m07s;USI_ROS_UIK
11.90.91.34;lag-3:40*;ac:cb:51:00:5b:15;01h30m05s;USI_ROS_UIK
11.90.91.35;lag-3:40*;ac:cb:51:00:5a:37;02h59m58s;USI_ROS_UIK
11.90.93.2;lag-3:40*;ac:cb:51:00:5b:a9;03h23m04s;USI_ROS_UIK
11.90.93.3;lag-3:40*;ac:cb:51:00:5a:49;03h58m19s;USI_ROS_UIK
11.90.93.4;lag-3:40*;ac:cb:51:00:5c:77;03h55m09s;USI_ROS_UIK
11.90.93.5;lag-3:40*;ac:cb:51:00:58:6a;03h16m12s;USI_ROS_UIK
11.90.93.6;lag-3:40*;ac:cb:51:00:5c:96;03h42m01s;USI_ROS_UIK
11.90.93.7;lag-3:40*;ac:cb:51:00:5b:8a;03h15m09s;USI_ROS_UIK
11.90.93.8;lag-3:40*;ac:cb:51:00:5a:d7;03h57m31s;USI_ROS_UIK
11.90.93.9;lag-3:40*;ac:cb:51:00:57:83;03h00m34s;USI_ROS_UIK
11.90.93.10;lag-3:40*;ac:cb:51:00:59:fc;03h10m24s;USI_ROS_UIK
11.90.93.11;lag-3:40*;ac:cb:51:00:5a:d2;02h19m23s;USI_ROS_UIK
11.90.93.12;lag-3:40*;ac:cb:51:00:57:ee;03h55m03s;USI_ROS_UIK
11.90.93.13;lag-3:40*;ac:cb:51:00:59:32;03h23m04s;USI_ROS_UIK
11.90.93.14;lag-3:40*;ac:cb:51:00:59:2f;03h00m16s;USI_ROS_UIK
11.90.93.15;lag-3:40*;ac:cb:51:00:5b:ce;02h38m25s;USI_ROS_UIK
11.90.93.17;lag-3:40*;ac:cb:51:00:56:42;03h58m19s;USI_ROS_UIK
11.90.93.18;lag-3:40*;ac:cb:51:00:56:d5;02h28m08s;USI_ROS_UIK
11.90.93.19;lag-3:40*;ac:cb:51:00:5c:17;03h57m31s;USI_ROS_UIK
11.90.93.20;lag-3:40*;ac:cb:51:00:58:9f;03h41m50s;USI_ROS_UIK
11.90.93.21;lag-3:40*;ac:cb:51:00:59:59;02h28m38s;USI_ROS_UIK
11.90.93.22;lag-3:40*;ac:cb:51:00:55:b4;03h23m04s;USI_ROS_UIK
11.90.93.23;lag-3:40*;ac:cb:51:00:56:5e;03h23m04s;USI_ROS_UIK
11.90.93.24;lag-3:40*;ac:cb:51:00:5a:e7;03h57m36s;USI_ROS_UIK
11.90.93.25;lag-3:40*;ac:cb:51:00:5a:10;03h47m02s;USI_ROS_UIK
11.90.93.26;lag-3:40*;ac:cb:51:00:58:d3;03h47m18s;USI_ROS_UIK
11.90.93.27;lag-3:40*;ac:cb:51:00:56:0f;03h39m12s;USI_ROS_UIK
11.90.93.28;lag-3:40*;ac:cb:51:00:58:94;03h54m58s;USI_ROS_UIK
11.90.93.29;lag-3:40*;ac:cb:51:00:58:29;03h57m37s;USI_ROS_UIK
11.90.93.30;lag-3:40*;ac:cb:51:00:5c:50;03h34m00s;USI_ROS_UIK
11.90.93.31;lag-3:40*;ac:cb:51:00:57:7d;02h20m43s;USI_ROS_UIK
11.90.93.32;lag-3:40*;ac:cb:51:00:59:2c;03h42m33s;USI_ROS_UIK
11.90.93.33;lag-3:40*;ac:cb:51:00:5c:5a;03h58m19s;USI_ROS_UIK
11.90.93.34;lag-3:40*;ac:cb:51:00:57:f9;03h08m12s;USI_ROS_UIK
11.90.93.35;lag-3:40*;ac:cb:51:00:57:f1;03h56m01s;USI_ROS_UIK
11.90.94.2;lag-3:40*;ac:cb:51:00:5b:68;03h57m31s;USI_ROS_UIK
11.90.94.4;lag-3:40*;ac:cb:51:00:55:74;03h17m42s;USI_ROS_UIK
11.90.94.5;lag-3:40*;ac:cb:51:00:57:81;03h49m41s;USI_ROS_UIK
11.90.94.6;lag-3:40*;ac:cb:51:00:5a:1e;03h54m37s;USI_ROS_UIK
11.90.94.7;lag-3:40*;ac:cb:51:00:56:c0;03h46m41s;USI_ROS_UIK
11.90.94.8;lag-3:40*;ac:cb:51:00:56:0d;03h54m42s;USI_ROS_UIK
11.90.94.9;lag-3:40*;ac:cb:51:00:58:d4;03h57m31s;USI_ROS_UIK
11.90.94.10;lag-3:40*;ac:cb:51:00:58:be;03h57m42s;USI_ROS_UIK
11.90.94.11;lag-3:40*;ac:cb:51:00:57:19;03h14m37s;USI_ROS_UIK
11.90.94.12;lag-3:40*;ac:cb:51:00:58:07;03h22m48s;USI_ROS_UIK
11.90.94.13;lag-3:40*;ac:cb:51:00:57:f2;03h49m35s;USI_ROS_UIK
11.91.17.2;lag-3:22*;58:50:ed:0d:a2:29;03h52m37s;USI_ROS_UIK
11.91.17.3;lag-3:22*;58:50:ed:0d:a2:a5;03h36m57s;USI_ROS_UIK
11.91.17.4;lag-3:22*;58:50:ed:0d:a2:48;03h56m29s;USI_ROS_UIK
11.91.17.5;lag-3:22*;58:50:ed:0d:a2:b5;03h58m00s;USI_ROS_UIK
